FirstName,MiddleName,LastName,IBAN,ModifiedDate,LastModified,LineManager
Ken,J,Sánchez,1207-48A3-8448-4636514EB7E2,2009-01-07 00:00:00.000,2010-01-07 00:00:00.000,
Terri,Lee,Duffy,8AA8-47CC-AFF7-C9079AF79033,2008-01-24 00:00:00.000,2019-01-24 00:00:00.000,1
Gail,A,Erickson,AE3B-430C-A754-9F2231BA6FEF,2007-12-30 00:00:00.000,2018-12-30 00:00:00.000,1
Jossef,H,Goldberg,EFFE-482A-AFD3-B7E8F199D56F,2013-12-16 00:00:00.000,2014-12-16 00:00:00.000,1
Dylan,A,Miller,01BE-4B76-B215-820C8368181A,2009-02-01 00:00:00.000,2010-02-01 00:00:00.000,1
Diane,L,Margheim,4A56-45A9-BC9A-160A1CC9D990,2008-12-22 00:00:00.000,2009-12-22 00:00:00.000,1
Gigi,N,Matthew,6D36-4252-9846-05CAA0B1F6C5,2009-01-09 00:00:00.000,2015-01-09 00:00:00.000,
Ovidiu,V,Cracium,EF6B-4408-BD8C-747337FE5645,2010-11-28 00:00:00.000,2011-11-28 00:00:00.000,8
Thierry,B,D'Hers,600D-4E89-8DCD-0978F3530F5F,2007-12-04 00:00:00.000,2008-12-04 00:00:00.000,8
Janice,M,Galvin,7042-4DC1-A2FD-BDA290FF0E07,2010-12-16 00:00:00.000,2011-12-16 00:00:00.000,8
Michael,I,Sullivan,5CAF-4700-AB07-CC81102BB696,2010-12-23 00:00:00.000,2017-12-23 00:00:00.000,8
Sharon,B,Salavaria,13F1-4B76-A3DE-FE9AC283A94C,2011-01-11 00:00:00.000,2012-01-11 00:00:00.000,8
David,M,Bradley,5DBB-497F-B941-775517993638,2007-12-13 00:00:00.000,2008-12-13 00:00:00.000,8
Kevin,F,Brown,B3D8-4409-BC5E-DEC62497F43A,2007-01-19 00:00:00.000,2008-01-19 00:00:00.000,8
John,L,Wood,9327-4D13-89CC-8CA5CEE8F21E,2011-01-31 00:00:00.000,2012-01-31 00:00:00.000,1
